scenario,hour,energy_price,bus_1,bus_2,bus_3,bus_4,bus_5,bus_6,bus_7,bus_8,bus_9,bus_10,bus_11,bus_12,bus_13,bus_14,bus_15,bus_16,bus_17,bus_18,bus_19,bus_20,bus_21,bus_22,bus_23,bus_24,bus_25,bus_26,bus_27,bus_28,bus_29,bus_30,bus_31,bus_32,bus_33,bus_34,bus_35,bus_36,bus_37,bus_38,bus_39
0,1,24.8958,13.2221,8.0174,29.3521,26.2313,24.9643,24.8958,24.3991,24.1507,19.5539,25.2308,25.1226,25.2308,25.3390,25.6182,25.1869,25.0000,24.8231,26.5504,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,20.8349,17.4461,17.4461,5.0000,24.8958,25.2308,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,16.3880
0,2,24.8958,13.2221,8.0174,29.3521,26.2313,24.9643,24.8958,24.3991,24.1507,19.5539,25.2308,25.1226,25.2308,25.3390,25.6182,25.1869,25.0000,24.8231,26.5504,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,20.8349,17.4461,17.4461,5.0000,24.8958,25.2308,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,16.3880
0,3,24.8958,13.2221,8.0174,29.3521,26.2313,24.9643,24.8958,24.3991,24.1507,19.5539,25.2308,25.1226,25.2308,25.3390,25.6182,25.1869,25.0000,24.8231,26.5504,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,20.8349,17.4461,17.4461,5.0000,24.8958,25.2308,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,16.3880
0,4,24.8958,13.2221,8.0174,29.3521,26.2313,24.9643,24.8958,24.3991,24.1507,19.5539,25.2308,25.1226,25.2308,25.3390,25.6182,25.1869,25.0000,24.8231,26.5504,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,20.8349,17.4461,17.4461,5.0000,24.8958,25.2308,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,16.3880
0,5,24.8958,13.2221,8.0174,29.3521,26.2313,24.9643,24.8958,24.3991,24.1507,19.5539,25.2308,25.1226,25.2308,25.3390,25.6182,25.1869,25.0000,24.8231,26.5504,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,20.8349,17.4461,17.4461,5.0000,24.8958,25.2308,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,16.3880
0,6,24.8958,13.2221,8.0174,29.3521,26.2313,24.9643,24.8958,24.3991,24.1507,19.5539,25.2308,25.1226,25.2308,25.3390,25.6182,25.1869,25.0000,24.8231,26.5504,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,20.8349,17.4461,17.4461,5.0000,24.8958,25.2308,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,16.3880
0,7,24.8958,13.2221,8.0174,29.3521,26.2313,24.9643,24.8958,24.3991,24.1507,19.5539,25.2308,25.1226,25.2308,25.3390,25.6182,25.1869,25.0000,24.8231,26.5504,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,20.8349,17.4461,17.4461,5.0000,24.8958,25.2308,25.0000,25.0000,25.0000,25.0000,10.0000,17.4461,16.3880
0,8,29.4952,43.8955,8.1040,26.9265,28.2741,29.4765,29.4952,30.1305,30.4482,36.1045,28.7456,28.9877,28.7456,28.5034,27.8784,25.8700,25.0000,24.1763,25.2252,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,10.0000,17.1212,20.3621,17.1212,17.1212,5.0000,29.4952,28.7456,25.0000,25.0000,25.0000,25.0000,10.0000,17.1212,40.0000
0,9,29.4952,43.8955,8.1040,26.9265,28.2741,29.4765,29.4952,30.1305,30.4482,36.1045,28.7456,28.9877,28.7456,28.5034,27.8784,25.8700,25.0000,24.1763,25.2252,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,10.0000,17.1212,20.3621,17.1212,17.1212,5.0000,29.4952,28.7456,25.0000,25.0000,25.0000,25.0000,10.0000,17.1212,40.0000
0,10,29.4952,43.8955,8.1040,26.9265,28.2741,29.4765,29.4952,30.1305,30.4482,36.1045,28.7456,28.9877,28.7456,28.5034,27.8784,25.8700,25.0000,24.1763,25.2252,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,10.0000,17.1212,20.3621,17.1212,17.1212,5.0000,29.4952,28.7456,25.0000,25.0000,25.0000,25.0000,10.0000,17.1212,40.0000
0,11,29.4952,43.8955,8.1040,26.9265,28.2741,29.4765,29.4952,30.1305,30.4482,36.1045,28.7456,28.9877,28.7456,28.5034,27.8784,25.8700,25.0000,24.1763,25.2252,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,10.0000,17.1212,20.3621,17.1212,17.1212,5.0000,29.4952,28.7456,25.0000,25.0000,25.0000,25.0000,10.0000,17.1212,40.0000
0,12,43.1467,38.8192,6.0980,46.9348,43.9528,43.2201,43.1467,42.9790,42.8952,41.1808,43.0254,43.0646,43.0254,42.9863,42.8852,40.8720,40.0000,39.1743,42.1341,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,10.0000,24.6552,31.3249,24.6552,24.6552,5.0000,43.1467,43.0254,40.0000,40.0000,40.0000,40.0000,10.0000,24.6552,40.0000
0,13,43.1467,38.8192,6.0980,46.9348,43.9528,43.2201,43.1467,42.9790,42.8952,41.1808,43.0254,43.0646,43.0254,42.9863,42.8852,40.8720,40.0000,39.1743,42.1341,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,10.0000,24.6552,31.3249,24.6552,24.6552,5.0000,43.1467,43.0254,40.0000,40.0000,40.0000,40.0000,10.0000,24.6552,40.0000
